lat	lon	col	group	Source	id	Ort	Lage	Typ	Anmerkung	Seit	PLZ	Stadtbezirk	Kreis	Land	BL	Kanton	source	OSM	title	streethousenumber	postcode	place	country	link	contact	opened	inserted	lastupdate	Adresse	Code_Postal	Ville	Pays	Remarque
-23.5532201	-46.7133578	purple	BoiteLire	boite-a-lire.com																									Praça Conde de Barcelos - Alto de Pinheiros	05464-010	São Paulo	Brazil	Free book library. Rotary, shared reading initiative. Come make literary discoveries and collaborate with our cultural collective
-23.540877	-46.7064596	purple	BoiteLire	boite-a-lire.com																									Praça Japubá 35	05453060	São Paulo 	Brazil	Petite boîte à lire à São Paulo, Brésil
-21.3767025	55.6159039	purple	BoiteLire	boite-a-lire.com																									240 Rue Raphael Babet	97480	Saint-Joseph	France	La boite a été mise en place par le Conseil municipal des enfants et la bibliothèque.
-21.0272603	55.2265249	purple	BoiteLire	boite-a-lire.com																									11 rue du Grand Hôtel  Boucan Canot	97400	Saint- Gilles les Bains	France	La boîte à livres est placée à l entrée d une école, lieu de passages enfants/ parents 
-17.5545371	-149.5709895	purple	BoiteLire	boite-a-lire.com																									avenue de tipaeru'i	98713	papeete	France	La boite se trouve au 1er étage du Conservatoire  près des bureaux de la direction. 
-17.535286	-149.547958	purple	BoiteLire	boite-a-lire.com																									Mairie de Pirae	98716	Pirae	France	Boite à livres située dans le hall de la mairie
-1.6832436222957	29.231595871651	#ff9900	Lesestunden	lesestunden.de	4644														Nyumbani	 	000000	Les Volcans	République Démocratique du Congo				2020-03-11	2020-03-11					
-1.6749242465055	29.202379394684	#ff9900	Lesestunden	lesestunden.de	4643														Le Petit Chalet	Avenue du lac 	841	Katindo	République Démocratique du Congo			Monday-Sunday, 8am-7pm	2020-03-11	2020-03-11					
4.9363102	-52.3341934	purple	BoiteLire	boite-a-lire.com																									2 place du marché	97300	cayenne	France	La boîte à lire se situe à l Alliance française de Cayenne. Ouverte à tous aux heures d'ouverture de l'Alliance.
25.968114538936	34.361914806068	#ff9900	Lesestunden	lesestunden.de	4366														Bücherregal Millennium Bar	24 		<U+0627><U+0644><U+0642><U+0635><U+064A><U+0631>	Egypt / <U+0645><U+0635><U+0631>			Bücher in verschiedenen Sprachen	2019-11-25	2019-12-08					
27.766677358606	-15.591301917921	#ff9900	Lesestunden	lesestunden.de	4619														Bücherschrank San Bartolomé	Avenida Alejandro del Castillo 	35109		España				2020-03-05	2020-03-05					
28.189220010727	-17.190909571946	#ff9900	Lesestunden	lesestunden.de	4355														Bücherschrank Agulo	 	38820	Agulo	España			24/7	2019-11-19	2019-12-08					
32.645873497149	-16.914306878934	#ff9900	Lesestunden	lesestunden.de	4618														Bücherschrank Funchal	Avenida do Infante 	9000-541	Funchal (Sé)	Portugal				2020-03-05	2020-03-05					
34.993397026419	24.751754701138	#ff9900	Lesestunden	lesestunden.de	4080														Bücherschrank Matala	 	70200	<U+039C><U+03AC>ta<U+03BB>a	<U+0395><U+03BB><U+03BB><U+03AC>da			Apartments Xenophon	2019-08-22	2019-09-07					
34.997712163241	24.75574683398	#ff9900	Lesestunden	lesestunden.de	4081														Bücherschrank Tympaki	 	70200	<U+039C><U+03AC>ta<U+03BB>a	<U+0395><U+03BB><U+03BB><U+03AC>da			Apartments Xenophon	2019-08-22	2019-09-07					
35.3985958	25.026866	purple	BoiteLire	boite-a-lire.com																									Unnamed Road	71500	LIGARIA	France	En Grèce, sur cette magnifique ile
36.8172871	24.5596228	purple	BoiteLire	boite-a-lire.com																									Ruelle de Chora 	84004	Kimolos	France	Initiative de l association Kimolites.
37.134759283356	-8.5388624667849	#ff9900	Lesestunden	lesestunden.de	4186														Caixa da libros Portimão	Rua José António Marques 	8501-858		Portugal		EMARP- Empresa	Kleine Bücherbox im Fenster Mo-Fr: 8.30-17.30	2019-09-14	2019-09-16					
37.740029	-25.668634	blue	Wikipedia	de.wiki_landingPage		Ponta Delgada (Azoren)	Largo da Matriz	Telefonzelle						Portugal Portugal																			
37.742178	-25.669502	blue	Wikipedia	de.wiki_landingPage		Ponta Delgada	Café im Hotel Do Colégio	Bücherregal	zugänglich während der Öffnungszeiten des Cafés					Portugal Portugal																			
38.0723678	23.8136596	purple	BoiteLire	boite-a-lire.com																									4 rue Levidou	14562	Kifisia	France	Sur le trottoir en face de la boulangerie Paul.
38.657104	-27.218829	blue	Wikipedia	de.wiki_landingPage		Angra de Heroismo	Stadtpark (Jardim Publico)	Holzschrank						Portugal Portugal																			
39.362316329152	3.2310872152448	#ff9900	Lesestunden	lesestunden.de	3743														Bücherschrank Parque Mar	Avinguda d'es Fortí 107	07660		124			24/7	2019-05-28	2019-09-07					
39.477174203761	19.931754693389	#ff9900	Lesestunden	lesestunden.de	3893														Bücherregal Moraitika	<U+0395><U+03A0>4 	49084	<U+03A7><U+03BB><U+03BF>µat<U+03B9>a<U+03BD><U+03AC>	<U+0395><U+03BB><U+03BB><U+03AC>da			Im Apollo Palace	2019-08-06	2019-09-07					
40.995945	17.219189	purple	BoiteLire	boite-a-lire.com																									Vico Gualdella, 5	70044	POLIGNANO A LARE BA	France	En Italie, simple mais efficace
41.6990639787992	8.84095251560211	purple	BoiteLire	boite-a-lire.com																									Résidence golfe du valinco, Olmeto plage	20113	Olmeto	France	Petite boite à lire au rond point du Motel et du Spar, à 25 mètres de la plage, pratique pour une petite lecture les pieds dans l'eau.
41.9254665	8.7381252	purple	BoiteLire	boite-a-lire.com																									cours Napoléon	20000	Ajaccio	France	La boite se trouve dans le Bistrot du Cours juste en face de la préfecture d'Ajaccio
42.081804	9.060516	purple	BoiteLire	boite-a-lire.com																									Bâtiment U palazzu	20136	Bocognano	France	La boîte à lire se trouve à l'entrée de la médiathèque. Des livres pour les petits et grands .Réapprovisionnée tous les jours ...Une vrai mine ...
42.2632172	3.1744145	purple	BoiteLire	boite-a-lire.com																									Avinguda de Rhode	17480	Roses	Espagne	En Espagne, Gérone en CatalogneLes citadelles de Rosas
42.2887571	3.2779723	purple	BoiteLire	boite-a-lire.com																									 	17488	cadaques	Espagne	la boite se trouve  en face de la sortie du grand  parking payant livres en espagnol, français, allemand il y en a pour tous les goûts.
42.289794	3.2768187	#ff9900	Lesestunden	lesestunden.de	4252														Bücherschrank Cadaqués	Avinguda de Caritat Serinyana 	17488	Cadaqués	España			immer	2019-10-09	2019-10-12					
42.2989986	9.1528366	purple	BoiteLire	boite-a-lire.com																									Université	20250	Corte	France	A votre disposition dans le hall du bâtiment Desanti-bibliothèque universitaire.
42.4565881	2.0374677	purple	BoiteLire	boite-a-lire.com																									15 Avenue des Comtes de Cerdagne	66800	Saillagouse	France	arrêt de bus
42.457769506811	2.0385092497963	#ff9900	Lesestunden	lesestunden.de	4379														Bücherschrank Saillagouse	Avenue des Comtes de Cerdagne 	66800	Saillagouse	France			In der Bushalterstelle 24/7	2019-12-05	2019-12-08					
42.474597	2.662281	purple	BoiteLire	boite-a-lire.com																									Chemin de la piscine	66110	Amélie les bains	France	A l entrée du parc
42.4940408	2.7409584	purple	BoiteLire	boite-a-lire.com																									Rue 19 mars 1962	66400	Ceret	France	Dans la pharmacie normand
42.51744	3.106307	purple	BoiteLire	boite-a-lire.com																									Quai Pierre Forgas	66660	Port-Vendres	France	Sur le Quai Pierre Forgas et Quai François Joly
42.5376102	2.3604962	purple	BoiteLire	boite-a-lire.com																									Bibliothèque	66360	sahorre	France	la boite a lire est installée a l entrée de la salle bleue, qui sert de salle de réunion, d'agence postale et de bibliothèque à sahorre.
42.555271404868	2.2711747885842	#ff9900	Lesestunden	lesestunden.de	4380														Bücherkiste Olette	Avenue du Général de Gaulle 	66360	Olette	France		Doris	In der Bushaltestelle Rotes Kistchen an der Wand 24/7	2019-12-05	2019-12-08					
42.5554022	2.2709276	purple	BoiteLire	boite-a-lire.com																									Mairie	66360	Olette	France	une case rouge à l arrêt de bus
42.601058	2.48548	purple	BoiteLire	boite-a-lire.com																									 	66320	ESTOHER	France	Boîte à lire mise à disposition par la commune d Estoher, faisant également office d OBCZ.
42.6326037	8.9380841	purple	BoiteLire	boite-a-lire.com																									Casino	20220	Île Rousse	France	A la sortie du Casino, près des caisses, il y a une petite caisse de livres en libre service !
42.6384337	2.4851243	purple	BoiteLire	boite-a-lire.com																									Rue de l école	66320	Estoher	France	Modification de l emplacement de la boite à livres d'Estoher. Elle se trouve désormais face à la mairie.
42.6411529	2.4808061	purple	BoiteLire	boite-a-lire.com																									84 N116	66360	Olette	France	il y a une boîte rouge à l arrêt de bus.
42.6674275	2.8224602	purple	BoiteLire	boite-a-lire.com																									Angle de l Avenue de Thuir et de l'Avenue Pasteur	66350	Toulouges	France	Mignonne boîte à lire réalisée par l association de la maison du citoyen de la ville.
