Adresse	Code_Postal	Ville	Pays	Remarque	Source	lat	lon
776 chemin des crozes	30720	Ribaute les Tavernes	France		boite-a-lire.com	44.0415188	4.098213
Place du marché	93360	Neuilly Plaisance	France		boite-a-lire.com	48.8677124	2.5147925
rue Jean Le Coz	92500	Reuil Malmaison	France		boite-a-lire.com	48.8755359	2.1790034
Jardin d'usage Rue Louis-Le-Nain	44000	Nantes	France		boite-a-lire.com	47.2261214	-1.5990549
Square Jim-Howart	44330	Vallet	France		boite-a-lire.com	47.160929	-1.265138
Rue de la Bouvaque	59112	Annœullin	France		boite-a-lire.com	50.5318517	2.9284693
Hameau de Sec-Bois	59232	Vieux-Berquin	France		boite-a-lire.com	50.708467	2.599357
35 Avenue du 8 Mai 1945	69160	Tassin-la-Demi-Lune	France		boite-a-lire.com	45.7603426	4.771071
Place de la Paix	69200	Vénissieux	France		boite-a-lire.com	45.6988679	4.884642
49 rue Professeur Roux	69200	Vénissieux	France		boite-a-lire.com	45.72666	4.8578828
45 Boulevard Lénine	69200	Vénissieux	France	Elle n'existe plus	boite-a-lire.com	45.6924762	4.8646407
Square Matringe	69190	St Fons	France		boite-a-lire.com	45.708874	4.853374
Place Hyppolite Péragut 	69160	Tassin-La-Demi-lune	France		boite-a-lire.com	45.76134	4.7768139
Parc de l’Etoile	69160	Tassin-La-Demi-lune	France		boite-a-lire.com	45.7550852	4.7767261
Gare d’Ecully-La-Demi-Lune	69160	Tassin-La-Demi-lune	France		boite-a-lire.com	45.7657217	4.7773353
Rue Louis Armand	74000	Annecy	France		boite-a-lire.com	45.9181513	6.1311601
100 route de Vienne	69008	Lyon 8ème	France		boite-a-lire.com	45.7378432	4.8519008
11 Rue Général de Gaulle	69530	Brignais	France		boite-a-lire.com	45.6753398	4.7650074
Jardin de Saint-Gènes	33000	Bordeaux	France		boite-a-lire.com	44.8250036	-0.5819971
4 Rue du Dr Castéra	33290	Blanquefort	France		boite-a-lire.com	44.9103382	-0.6327907
Place Saint Ahon 	33290	Caychac	France		boite-a-lire.com	44.9272253	-0.6360835
Parc des coteaux	33530	Bassens	France		boite-a-lire.com	44.899835	-0.516238
Rue Gérard Philippe	35200	Rennes	France		boite-a-lire.com	48.092047	-1.653398
Centre bourg	86170	Yversay	France		boite-a-lire.com	46.676702	0.217694
20 Avenue Maximilien Robespierre	94400	Vitry-sur-seine	France		boite-a-lire.com	48.7905536	2.387926
Place du Marché aux Poissons	54200	Toul	France	Boite a livre avec beaucoup de choix, renouvellement rapide.	boite-a-lire.com	48.6747441	5.8901794
rue des dunes	14150	Ouistreham	France	Au bord de la piste cyclable qui longe la gare maritime.	boite-a-lire.com	49.2834	-0.2506346
 4 rue saint Nazaire	84380	Mazan	France		boite-a-lire.com	44.0566564	5.1275576
14 bis rue du Professeur Calmette	33140	Villenave-d'Ornon	France	La boite à Lire se trouve juste devant l'entrée de la piscine muniscipale. 	boite-a-lire.com	44.7821118	-0.5703999
Musée de Lignan	33360	Lignan de Bordeaux	France	La boite se trouve à côté du Musée de Lignan. 	boite-a-lire.com	44.795935	-0.427882
5 rue Henri Germond	28120	Illiers-Combray	France		boite-a-lire.com	48.2991698	1.2449024
87 rue Chateaubriand	92290	Châtenay-Malabry	France	La boite à lire est aménagée dans le tronc d'un arbre au milieu du parc de la maison de Chateaubriand.	boite-a-lire.com	48.7718368	2.2666213
Place Jean Jaurès	71100	Saint-Rémy	France		boite-a-lire.com	46.76915	4.8280701
Grand Place	63270	Saint-Maurice-es-Allier	France		boite-a-lire.com	46.3115552	3.4167655
Le bourg	81120	Fauch	France	La boite se situe près de l'école. 	boite-a-lire.com	44.6363856	-0.1347557
Quai sadi carnot	88107	Saint-Dié-des-Vosges	France	La boite se situe tout au bout du quai Sadi Carnot  côté rond point  juste à côté du pont.	boite-a-lire.com	48.284421	6.953071
Route de Bordeaux	16400	La Couronne	France	La boite se situe dans le hall de l'hypermarché Auchan de La Couronne.	boite-a-lire.com	45.616632	0.102983
place du Bourg 	46130	CORNAC	France	La boite à été mise en place par le Bar Association "Le Repaire". 	boite-a-lire.com	44.9107163	1.8815785
	38121	Reventin-Vaugris	France	La boite vient d'être installée dans le village. 	boite-a-lire.com	45.467873	4.8408559
Rue de la 1ère Armée	68740	Fessenheim	France	La boite à lire se trouve directement à gauche dans l'entrée du Super U.	boite-a-lire.com	47.9177813	7.531955
17 rue Benoit Bernard	69008	Lyon	France	Il y a même une petite terrasse en bois pour les beaux jours.	boite-a-lire.com	45.7380878	4.8519144
Place du Marché	77510	Rebais	France	C'est une petite boite clouées contre le mur du syndicat d'initiative de la commune de Rebais.	boite-a-lire.com	48.8464258	3.2323923
Place Peydavant	33400	Talence	France	La boite est un peu en retrait du rond point.	boite-a-lire.com	44.8018071	-0.585438
Chemin de Leysotte	33140	Villenave-d'Ornon	France	La boite se trouve au niveau du Parc Sourreil et de la Maison des Arts Vivants. 	boite-a-lire.com	44.795172	-0.580675
Parc Peixotto	33400	Talence	France	La boite se trouve en face de la médiathèque Castagnéra. 	boite-a-lire.com	44.8076812	-0.589866
8 Place Jean Jaurès  	62270	Frévent	France	La boite se trouve face à la poste  près de la mairie et près de la résidence des bords de canche.  Il y a trois boite à lire à Frévent...une initiative bien sympathique de la médiathèque municipale.	boite-a-lire.com	50.2784069	2.293331
 Boulevard Poincaré  	57000	Metz	France	Dans le cadre de sa politique culturelle et associative  la Ville de Metz a mis en place un réseau de boîtes à livres.	boite-a-lire.com	49.1158827	6.1660625
Boulevard André Maginot	57000	Metz	France	Dans le cadre de sa politique culturelle et associative  la Ville de Metz a mis en place un réseau de boîtes à livres. 	boite-a-lire.com	49.1175247	6.1850706
Route d'Ars Laquenexy 	57000	Metz	France	Dans le cadre de sa politique culturelle et associative  la Ville de Metz a mis en place un réseau de boîtes à livres.	boite-a-lire.com	49.0945619	6.2430518
Place de la comédie	57000	Metz	France	Dans le cadre de sa politique culturelle et associative  la Ville de Metz a mis en place un réseau de boîtes à livres. 	boite-a-lire.com	49.121336	6.173595
Place Philippe de Vigneulles 	57000	Metz	France	Dans le cadre de sa politique culturelle et associative  la Ville de Metz a mis en place un réseau de boîtes à livres.	boite-a-lire.com	49.1065487	6.1670236
Place du Vieux Marché	35830	Betton	France		boite-a-lire.com	48.1830157	-1.644382
36 rue saint manvieu	14000	Caen	France	La boite à lire se trouve au sein du café sauvage (café associatif). Ce n'est pas une boîte à lire à proprement parler mais c'est ce qui s'en rapproche le plus pour le moment sur la ville de Caen  de vraies boîtes sont en projet.	boite-a-lire.com	49.1824856	-0.3719345
rue de la gare	67210	Obernai	France	Boite à lire proposée par la Ville d'Obernai. 	boite-a-lire.com	48.4620911	7.4884334
Place Commandant Maria	06400	Cannes	France	J'y ai déjà déposé plusieurs livres qui sont partis très vite !	boite-a-lire.com	43.5557504	7.0237031
