id	title	streethousenumber	postcode	place	country	lat	lon	link	contact	opened	inserted	lastupdate	Source
1	Bücher-Kühl-Schrank Hilchenbach	Bernhard-Weiss-Platz 6	57271	Hilchenbach	DE	50.977261	8.054234		Stadtbücherei Hilchenbach, Im Burgweiher 1, 57271 Hilchenbach	24 Stunden	2017-05-23	2017-05-23	lesestunden.de
2	Aktion Bücherwurm im Lausitzpark Cottbus		03051	Cottbus	DE	51.7174802	14.3220633	www.lausitz-park.de		Mo. - Sa. 8.00 - 21.00 Uhr // abhängig von der Schließzeit des Lausitz Parks	2017-05-23	2017-05-23	lesestunden.de
3	Bücherschrank Albersdorf	Am Bahnhof 12	25767	Albersdorf	Deutschland	54.14518	9.293477				2017-05-23	2019-09-07	lesestunden.de
4	Bücherschrank Altendorf (Raiffeisenbank)	Rheinbacher Straße 1	53340		Deutschland	50.5936038624	7.01060771942			24/7	2017-05-23	2019-09-07	lesestunden.de
5	An der katholischen Hochschulgemeinde Aachen	Pontstraße 72	52062	Aachen		50.778425	6.081892			24/7	2017-05-23	2017-12-22	lesestunden.de
6	Aachen - Burtscheider Markt	Burtscheider Markt 13-15	52066	Aachen	DE	50.762878	6.092125			24 / 7	2017-05-23	2017-05-23	lesestunden.de
7	Aachen / Passstraße	Passstraße 90	52070	Aachen	DE	50.78347	6.098134			24 / 7	2017-05-23	2017-05-23	lesestunden.de
8	Aachen / Bahnhofsvision		52076	Aachen	DE	50.72965	6.177139			24 / 7	2017-05-23	2017-05-23	lesestunden.de
9	Bücherregal Hallenbad Aalen	Bleichgartenstraße 14	73431		Deutschland	48.840452	10.099123			während der Öffnungszeiten	2017-05-23	2019-11-03	lesestunden.de
10	Aalen / Droste-Hülshoff-Weg (Pelzwasen)	Droste-Hülshoff-Weg 26-28	73431	Aalen	DE	48.835531	10.114725			24 / 7	2017-05-23	2017-05-23	lesestunden.de
11	Bücherregal im Kino am Kocher	Schleifbrückenstraße 15	73430		Deutschland	48.842595	10.092149			Mo-Sa: 18:30-24:00 Uhr So: 19.30-24:00 Uhr	2017-05-23	2019-11-03	lesestunden.de
12	Bücherregal Bürgerspital Aalen	 28	73430		Deutschland	48.839443	10.093469			während der Öffnungszeiten	2017-05-23	2019-11-03	lesestunden.de
14	Aachen / TABITAS	Heinrich-Hollands-Straße 4	52070	Aachen	DE	50.78927	6.11449			24 / 7	2017-05-23	2017-05-23	lesestunden.de
15	Bücherregal im Theater Aalen	 4	73430		Deutschland	48.837682	10.092834			während der Öffnungszeiten der Theaterkasse	2017-05-23	2019-11-03	lesestunden.de
17	Bücherregal Haus der Jugend	Friedhofstraße 8	73430		Deutschland	48.83825	10.090935			während der Öffnungszeiten	2017-05-23	2019-11-03	lesestunden.de
