id	title	lat	lon	address	type	open	comment	contact	bcz	digital	icontype	deactivated	deactreason	entrytype	homepage	Source
2	Bad Münstereifel (Innogy)	50.55574078	6.76511585712	Werther Platz 45, 53902 Bad Münstereifel	Innogy Bücherschrank (BOKX)	24 / 7	gestiftet von der Innogy SE					0		bookcase	bit.ly/innogycases	openbookcase.org
3	Bad Sobernheim (Innogy)	49.7856525504	7.65182197094	Saarstraße 26-28 (Auf dem Platz vor der Apotheke)	Innogy Bücherschrank (BOKX)	24 / 7	gestiftet von der Innogy SE		0	0		0		bookcase	bit.ly/innogycases	openbookcase.org
4	Boppard (Innogy)	50.231999	7.588459	Stadtplatz / Karmeliterstr. 2, 56154 Boppard	Innogy Bücherschrank (BOKX)	24 / 7	gestiftet von der Innogy SE					0		bookcase	bit.ly/innogycases	openbookcase.org
5	Inden (Innogy)	50.846232	6.358291	Rathausstr. 1, 52459 Inden	Innogy Bücherschrank (BOKX)	24 / 7	gestiftet von der Innogy SE					0		bookcase	bit.ly/innogycases	openbookcase.org
6	Merzenich (Innogy)	50.8284628806	6.52469873428	Lindenstraße Ecke Bergstraße, 52399 Merzenich	Innogy Bücherschrank (BOKX)	24 / 7	gestiftet von der Innogy SE					0		bookcase	bit.ly/innogycases	openbookcase.org
7	Neunkirchen-Seelscheid (Innogy)	50.8713302096	7.32454419136	Zeithstr. 140, 53819 Neunkirchen-Seelscheid	Innogy Bücherschrank (BOKX)	24 / 7	gestiftet von der Innogy SE					0		bookcase	bit.ly/innogycases	openbookcase.org
9	Verbandsgemeinde Wöllstein - Wonsheim (Innogy)	49.813398	7.961212		Innogy Bücherschrank (BOKX)	24 / 7	gestiftet von der Innogy SE					0		bookcase		openbookcase.org
10	Weilerswist (Innogy)	50.752966	6.841539	Bonner Str. 29, 53919 Weilerswist	Innogy Bücherschrank (BOKX)	24 / 7	gestiftet von der Innogy SE					0		bookcase	bit.ly/innogycases	openbookcase.org
11	Aalen / Droste-Hülshoff-Weg (Pelzwasen)	48.835531	10.114725		Zweitüriger Holzschrank	24 / 7	auch Kinder- und Jugendbücher, die Bücherkiste wurde von Anwohnern aufgestellt und von der Fa. Vitus König aus Aalen kostenlos gebaut		0	0		0		bookcase		openbookcase.org
12	Aalen / Kino am Kocher	48.842595	10.092149		Bücherregal	Mo bis Sa 18.30 bis 24 Uhr, So 19.30 bis 24 Uhr	barrierefrei zugänglich;  / Schleifbrückenstr. 15		0	0		0		bookcase		openbookcase.org
13	Aalen / Storchenplatz	48.83932	10.091377		Bücherschrank	24 / 7						0		bookcase		openbookcase.org
14	Aldenhoven (Innogy)	50.895129	6.28515	Alte Turmstraße, 52457 Aldenhoven	Innogy Bücherschrank (BOKX)	24 / 7	gestiftet von der Innogy SE					0		bookcase	bit.ly/innogycases	openbookcase.org
15	Altenahr	50.516058	6.988632		Holzschrank	24 / 7						0		bookcase		openbookcase.org
