Source	id	lat	lon	OSM
OSM_overpass_query	8079995	53.2432021	-1.4992986	amenity: public_bookcase<br>booth: K6<br>colour: red<br>covered: booth<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box
OSM_overpass_query	21096730	51.1166375	-0.2608024	amenity: public_bookcase<br>booth: K6<br>colour: red<br>type: phone_box
OSM_overpass_query	26533681	52.2284266	-1.0799432	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box
OSM_overpass_query	26729870	52.1026871	-0.954803	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box
OSM_overpass_query	81514265	52.0105257	-0.0645166	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>note: Used as a local book swap library<br>type: phone_box
OSM_overpass_query	99133235	52.6564649	-1.8582687	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box<br>structure: red telephone box
OSM_overpass_query	99391483	52.6374523	-1.8348262	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>operator: Shenstone Parish Council<br>type: phone_box
OSM_overpass_query	207283807	51.9811595	-1.0115995	amenity: public_bookcase<br>booth: K6<br>disused:amenity: telephone<br>man_made: telephone_box<br>postal_code: MK18 4HN<br>type: phone_box
OSM_overpass_query	248350992	51.5831137	9.8056558	amenity: public_bookcase<br>name: Bücherzelle<br>survey:date: 2019-10-13
OSM_overpass_query	248800885	49.8363813	9.8666188	amenity: public_bookcase<br>location: outdoor<br>type: shelf
OSM_overpass_query	248800893	49.8362296	9.8688816	amenity: public_bookcase<br>location: outdoor<br>type: shelf
OSM_overpass_query	258127539	48.7071876	-0.5829143	amenity: public_bookcase<br>type: phone_box
OSM_overpass_query	269950102	50.9464426	-1.5938652	amenity: public_bookcase<br>booth: K6<br>colour: red<br>man_made: telephone<br>type: phone_box
OSM_overpass_query	280606829	51.4696448	-0.0283099	amenity: public_bookcase<br>books: children<br>booth: K2<br>colour: red<br>covered: booth<br>disused:amenity: telephone<br>man_made: telephone_box<br>note: is just a red phone box, there is no phone a[trunc]<br>type: phone_box
OSM_overpass_query	294630128	52.142606	0.1191839	amenity: public_bookcase<br>booth: K6<br>colour: red<br>type: phone_box
OSM_overpass_query	295060479	51.3770262	-0.8556313	amenity: public_bookcase<br>booth: K6<br>capacity: 200<br>covered: booth<br>name: Book Swop<br>operator: Finchampstead Parish Council<br>type: phone_box
OSM_overpass_query	309359240	51.4500301	-1.9488914	amenity: public_bookcase<br>booth: K6<br>type: phone_box
OSM_overpass_query	310966736	47.999041	-1.7757642	amenity: public_bookcase<br>type: phone_box
OSM_overpass_query	313972654	51.2825807	7.0305959	amenity: public_bookcase<br>description: Telefon wurde abgebaut, ist jetzt ein[trunc]<br>type: phone_box<br>removed:amenity: telephone
OSM_overpass_query	320126234	48.8931582	11.1801099	amenity: public_bookcase<br>level: 0<br>name: Büchertauschbörse<br>opening_hours: 24/7<br>operator: Stadt Eichstätt<br>wheelchair: no
OSM_overpass_query	325621153	54.1058409	-0.8464858	amenity: public_bookcase<br>booth: K6<br>covered: booth<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box
OSM_overpass_query	330456415	51.6422896	6.7657559	amenity: public_bookcase
OSM_overpass_query	344528941	50.0092232	14.4622708	amenity: public_bookcase
OSM_overpass_query	353365641	51.8903777	1.0748543	amenity: public_bookcase<br>booth: K6<br>colour: red<br>note: sign inside says 'Swap Only This is not a bo[trunc]<br>public_bookcase:sort: book_swap<br>type: phone_box
OSM_overpass_query	354906141	52.5918101	-0.4259534	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box<br>source: survey
OSM_overpass_query	364382846	51.3702317	6.4113836	amenity: public_bookcase<br>capacity: 200<br>name: Schmökderbude<br>operator: Quartiersentwicklung Kempen<br>type: phone_box<br>website: https://unser-quartier.de/hagelkreuz/
OSM_overpass_query	370136564	53.3087208	-1.4512555	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>name: K6 Book Exchange<br>operator: Dronfield Civic Society<br>type: phone_box
OSM_overpass_query	371659237	52.2408801	0.5830977	amenity: public_bookcase<br>booth: K6<br>covered: booth<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box
OSM_overpass_query	387180632	46.1206461	6.1039856	amenity: public_bookcase<br>type: phone_box
OSM_overpass_query	392448078	52.965795	-1.502954	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>former_operator: British Telecom<br>type: phone_box<br>source: survey
OSM_overpass_query	414090490	53.1960004	-1.7773653	amenity: public_bookcase<br>booth: K6<br>covered: booth<br>disused:amenity: telephone<br>library:location: located in the Red Phone Box<br>man_made: telephone_box<br>type: phone_box<br>source: survey
OSM_overpass_query	414194103	53.0034399	-0.977405	amenity: public_bookcase<br>booth: K6<br>disused:amenity: telephone<br>man_made: telephone_box<br>name: Caythorpe Book Exchange<br>type: phone_box
OSM_overpass_query	415494822	46.5183565	6.5071033	amenity: public_bookcase<br>name: La Cabine d'échanges<br>operator: Maison des Associations<br>website: https://www.lamaisondesassociations.ch/ca[trunc]
OSM_overpass_query	415494868	46.5178248	6.5257512	amenity: public_bookcase<br>name: Préverenges bouqine
OSM_overpass_query	416621275	47.3478077	8.3579729	amenity: public_bookcase<br>disused:amenity: telephone<br>operator: Schul-/Gemeindebibliothek
OSM_overpass_query	419112019	52.3899293	9.7456087	addr:city: Hannover<br>addr:housenumber: 23<br>addr:postcode: 30163<br>addr:street: Jakobistraße<br>amenity: public_bookcase<br>description:de: Bücherschrank<br>opening_hours: 24/7<br>website: http://www.werkstatt-treff.de/html/bueche[trunc]<br>wheelchair: limited
OSM_overpass_query	419478915	52.3934773	9.6850598	amenity: public_bookcase<br>description:de: Bücherschrank<br>opening_hours: 24/7
OSM_overpass_query	429381828	53.0007196	-1.061048	amenity: public_bookcase<br>booth: K6<br>disused:amenity: telephone<br>ele: 56.362549<br>man_made: telephone_box<br>name: Lambley Book Exchange &amp; Information Poin[trunc]<br>type: phone_box<br>source: GPS
OSM_overpass_query	444482370	47.9197932	-1.8605287	amenity: public_bookcase<br>type: phone_box
OSM_overpass_query	456799784	50.0067849	9.1503804	amenity: public_bookcase<br>operator: Bücherei Glattbach<br>type: metal_cabinet
OSM_overpass_query	460020608	53.1811638	-1.8680183	amenity: public_bookcase<br>booth: K6<br>covered: booth<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box<br>source: survey
OSM_overpass_query	470478670	52.8910516	-1.090413	amenity: public_bookcase<br>booth: K6<br>colour: red<br>description: 'Bring a book, borrow a book&quot;<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box<br>source: local_knowledge
OSM_overpass_query	474896095	51.9218724	0.2151508	amenity: public_bookcase<br>bus: yes<br>highway: bus_stop<br>name: Ugley Green<br>naptan:AtcoCode: 1500UGLEY1<br>naptan:Bearing: SW<br>naptan:BusStopType: CUS<br>naptan:CommonName: Ugley Green<br>naptan:Crossing: Dellows Lane<br>naptan:Indicator: Opp<br>naptan:Landmark: Ugley Green<br>naptan:NaptanCode: esxdapjp<br>naptan:Street: Snakes Lane<br>naptan:verified: no<br>public_transport: platform<br>shelter: yes<br>source: naptan_import
OSM_overpass_query	477014121	53.0404522	-1.5039334	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box
OSM_overpass_query	477368695	52.3709371	9.7283593	amenity: public_bookcase<br>description:de: Bücherschrank<br>fee: no<br>opening_hours: 24/7<br>shop: books
OSM_overpass_query	478203946	52.9454897	0.724932	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box
OSM_overpass_query	478683457	53.7321704	10.744035	amenity: public_bookcase<br>fee: no<br>name: Bücherwurm<br>opening_hours: 24/7
OSM_overpass_query	479180770	52.8915931	-1.0780935	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box<br>source: survey
OSM_overpass_query	493634130	52.2259314	0.9381052	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box
OSM_overpass_query	493733417	50.7255828	-1.5893242	amenity: public_bookcase<br>booth: K6<br>type: phone_box
OSM_overpass_query	498488554	51.9594248	8.6582026	amenity: public_bookcase
OSM_overpass_query	499150657	46.513121	6.5270432	amenity: public_bookcase
OSM_overpass_query	512633288	50.7394014	7.0896225	amenity: public_bookcase<br>opening_hours: 24/7<br>operator: Bürgerstiftung Bonn<br>ref:isil: none<br>wheelchair: yes
OSM_overpass_query	520309538	52.620441	13.3558874	access: yes<br>amenity: public_bookcase<br>colour: #d1af7a<br>name: Fernsprecher<br>payment:coins: no<br>payment:telephone_cards: no<br>type: phone_box
OSM_overpass_query	530143481	47.0202863	7.4369609	amenity: public_bookcase<br>type: phone_box
OSM_overpass_query	534876553	52.3062523	0.7667202	amenity: public_bookcase<br>booth: K6<br>covered: booth<br>disused:amenity: telephone<br>man_made: telephone_box<br>name: Great Livermere Book Exchange<br>type: phone_box
OSM_overpass_query	534955051	52.3019106	-1.2407167	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>note: no phone<br>type: phone_box<br>source: survey
OSM_overpass_query	554739420	53.5897312	-1.7966886	amenity: public_bookcase<br>booth: K6<br>covered: booth<br>description: Old telephone box changed into help y[trunc]<br>disused:amenity: telephone<br>type: phone_box<br>source: Local Knowledge
OSM_overpass_query	570371986	50.1085241	8.0982299	amenity: public_bookcase<br>name: Wambacher Bücherzelle<br>opening_hours:covid19: open<br>type: phone_box
OSM_overpass_query	588766426	49.2945262	8.6991782	amenity: public_bookcase<br>capacity: 300<br>name: Öffentliches Bücherregal<br>operator: Bürgerstiftung-Wiesloch<br>wheelchair: yes
OSM_overpass_query	601043755	45.9646268	4.0098217	amenity: public_bookcase
OSM_overpass_query	610380095	47.3484853	7.9115722	amenity: public_bookcase<br>covered: booth<br>name: Offener Bücherschrank<br>operator: Cultibo
OSM_overpass_query	618792582	52.9159633	-1.3202524	amenity: public_bookcase<br>booth: K6<br>disused:amenity: telephone<br>information: board<br>man_made: telephone_box<br>note: Also leaflets<br>operator: Risley with Hopwell Parish Council<br>type: phone_box<br>source: survey<br>tourism: information
OSM_overpass_query	618836359	52.921711	-1.3731201	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box
OSM_overpass_query	632791080	51.7362386	-1.78955	amenity: public_bookcase<br>booth: K6<br>disused:amenity: telephone<br>type: phone_box<br>source: survey
OSM_overpass_query	648473357	52.3124684	9.7892519	amenity: public_bookcase<br>name: Bücherschrank
OSM_overpass_query	658959597	48.8914595	2.1980228	amenity: public_bookcase<br>capacity: 44000<br>email: bibliothecaires@mairie-nanterre.fr<br>fax: +33141370647<br>name: Médiathèque musicale<br>opening_hours: Tu 14:00-19:00; We 10:00-19:00; Fr-[trunc]<br>phone: +33147295157<br>source: survey;knowledge<br>website: https://www.nanterre.fr/1566-maison-de-la[trunc]<br>website:catalogue: https://www.nanterre.fr/1052-le[trunc]<br>wheelchair: yes
OSM_overpass_query	672947631	53.8690188	-0.9504889	amenity: public_bookcase<br>booth: K6<br>covered: booth<br>disused:amenity: telephone<br>man_made: telephone_box<br>name: Thorganby Book Exchange<br>type: phone_box
OSM_overpass_query	672964062	52.3760345	-0.0943624	amenity: public_bookcase<br>booth: K6<br>type: phone_box<br>reused: telephone_box
OSM_overpass_query	686405852	48.2019393	16.3451033	addr:city: Wien<br>addr:country: AT<br>addr:postcode: 1070<br>amenity: public_bookcase<br>check_date: 2021-04-04<br>name: Offener Bücherschrank<br>operator: Frank Gassner<br>type: metal_cabinet<br>website: https://www.offener-buecherschrank.at/neu[trunc]
OSM_overpass_query	699732609	52.3754502	9.7958551	amenity: public_bookcase<br>description:de: Bücherschrank<br>wheelchair: yes
OSM_overpass_query	700781188	53.2839463	-1.5256481	amenity: public_bookcase<br>booth: K6<br>colour: red<br>covered: booth<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box
OSM_overpass_query	734000749	47.7547209	-1.8844883	amenity: public_bookcase<br>payment:telephone_cards: yes
OSM_overpass_query	759554381	50.0617005	8.8069017	abandoned:amenity: telephone<br>amenity: public_bookcase<br>colour: red<br>covered: booth<br>description: öffentlicher Bücherschrank<br>location: telephone_booth<br>operator: Stadt Heusenstamm<br>url: http://www.op-online.de/lokales/nachrichten/h[trunc]
OSM_overpass_query	765583987	48.3725371	10.8935062	amenity: public_bookcase<br>description:de: Bücherschrank zum kurzzeitigem aus[trunc]<br>opening_hours: Apr-Oct: Mo-Su 08:00-21:00<br>wheelchair: yes
OSM_overpass_query	767414320	48.7419426	7.3612996	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>note: cabine anglais<br>type: phone_box
OSM_overpass_query	768939806	52.4280987	-0.1493614	amenity: public_bookcase<br>booth: K6<br>brand: Little Free Library<br>brand:wikidata: Q6650101<br>brand:wikipedia: en:Little Free Library<br>disused:amenity: telephone<br>man_made: telephone_box<br>name: Little Free Library<br>old_phone_box: yes<br>operator: Little Free Library<br>type: phone_box<br>website: http://vimeo.com/72957294
OSM_overpass_query	822492138	49.8886138	15.5298474	addr:conscriptionnumber: 151<br>addr:country: CZ<br>addr:housenumber: 151<br>addr:place: Ronov nad Doubravou<br>addr:postcode: 53842<br>addr:street: Chittussiho nám.<br>amenity: public_bookcase<br>ref:ruian:addr: 5277205<br>website: https://www.ronovnd.cz/mesto/knihovna-gal[trunc]
OSM_overpass_query	831494356	47.0594854	15.453227	amenity: public_bookcase<br>covered: yes<br>name: Offenes Bücherregal Moserhofgasse 53<br>website: https://nachhaltig-in-graz.at/offenes-bue[trunc]
OSM_overpass_query	832690711	50.9886411	-0.8590125	amenity: public_bookcase<br>booth: K6<br>note: Former telephone box<br>type: phone_box
OSM_overpass_query	848844016	52.9829562	-1.3553136	amenity: public_bookcase<br>booth: K6<br>colour: red<br>disused:amenity: telephone<br>man_made: telephone_box<br>operator: Mapperley Parish Council<br>type: phone_box<br>source: survey
OSM_overpass_query	888513973	49.7598733	9.5175362	amenity: public_bookcase<br>name: Bücherzelle<br>opening_hours: 24/7<br>type: phone_box
OSM_overpass_query	895601092	52.3727008	0.9268427	amenity: public_bookcase<br>booth: K6<br>covered: booth<br>disused:amenity: telephone<br>man_made: telephone_box<br>type: phone_box
OSM_overpass_query	916881774	48.7891189	9.3415867	amenity: public_bookcase<br>name: Öffentliches Bücherregal<br>operator: Bürgerstiftung Kernen i.R.
OSM_overpass_query	917074536	47.1046434	8.6763477	amenity: public_bookcase<br>contact:phone: +41 41 839 80 20<br>mapillary: QPdIdz3YatDaFtQaFS4wJQ<br>name: Büchertauschbörse<br>opening_hours: 24/7<br>operator: Gemeindeverwaltung Rothenthurm<br>type: phone_box
OSM_overpass_query	920078850	47.4379334	1.295342	amenity: public_bookcase<br>type: phone_box
OSM_overpass_query	928612650	53.0026741	-1.842227	amenity: public_bookcase<br>booth: K6<br>disused:amenity: telephone<br>ele: 208.7303467<br>name: Phone Booth Book Exchange Point<br>type: phone_box
