lat	lon	Ort	Lage	Source
48.84082	10.09916	Aalen	Bleichgartenstraße	tauschgnom.de
48.8349826	10.1143214	Aalen	Droste-Hülshoff-Weg	tauschgnom.de
48.83931	10.09327	Aalen	Spritzenhausplatz	tauschgnom.de
48.8383	10.091	Aalen	Friedhofstraße	tauschgnom.de
48.8426058	10.0922615	Aalen	Schleifbrückenstraße	tauschgnom.de
48.83741	10.09392	Aalen	An der Stadtkirche	tauschgnom.de
53.01132	9.03259	Achim	Vendtstraße	tauschgnom.de
51.58652	9.80879	Adelebsen	Alte Dorfstraße	tauschgnom.de
52.327619	9.777955	Hannover	Hildesheimer Straße	tauschgnom.de
50.783962	6.098483	Aachen	Grüner Weg	tauschgnom.de
51.202864	7.357276	Radevormwald	Marktplatz	tauschgnom.de
49.184253	8.981148	Kirchardt	Salinenstraße	tauschgnom.de
50.555598	6.765043	Bad Münstereifel	Wertherstraße	tauschgnom.de
52.318586	9.658526	Ronneberg	Über den Beeken	tauschgnom.de
47.965657	7.856359	Freiburg im Breisgau	Schauinslandstraße	tauschgnom.de
51.257463	6.530823	Willich	Hülsdonkstraße	tauschgnom.de
48.460999	11.123104	Aichach	Bahnhofstraße	tauschgnom.de
51.491498	7.555373	Dortmund	Köln-Berliner-Straße	tauschgnom.de
52.304802	9.467001	Barsinghausen	Berliner Straße	tauschgnom.de
52.272285	9.570674	Wennigsen (Deister)	Hagemannstraße	tauschgnom.de
51.875145	10.561117	Bad Harzburg	Herzog-Wilhelm-Straße	tauschgnom.de
52.548749	13.177668	Berlin	Falkenseer Chaussee	tauschgnom.de
51.044524	7.424287	Lindlar	Jan-Wellem-Straße	tauschgnom.de
51.457774	7.271339	Bochum	Brunnenplatz	tauschgnom.de
52.493625	13.385027	Berlin	Yorckstraße	tauschgnom.de
50.410588	6.73159	Blankenheim (Ahr)	Martinusstraße	tauschgnom.de
52.392651	9.822312	Hannover	Milanstraße	tauschgnom.de
52.400668	9.774468	Hannover	Liliencronplatz	tauschgnom.de
52.4142	9.778472	Hannover	Elmstraße	tauschgnom.de
49.255384	7.041505	Saarbrücken	Campus	tauschgnom.de
52.374708	9.761517	Hannover	Schackstraße	tauschgnom.de
48.842499	9.362116	Korb	Waiblinger Straße	tauschgnom.de
54.222251	11.0886	Dahme	An der Strandpromenade	tauschgnom.de
50.980469	6.950289	Köln	Derfflingerstraße	tauschgnom.de
