Source	Ort	Lage	Typ	Anmerkung	Seit	lat	lon	PLZ	Stadtbezirk	Kreis	Land	BL	Kanton
de.wiki_in_Bayern	Abensberg	 Am Bahnhof	rot gestrichene Telefonzelle		Aug. 2019	48.819333	11.84697	93326					
de.wiki_in_Bayern	Aidenbach	Marktplatz 55	Bücherschrank	im Vorraum beim Werbezentrum123jeden Tag 24 Stunden geöffnetleider kein barrierefreier Zugangprivate Initiative von Antonia Zoch und Karl Heinz Forster	Mär. 2020			94501					
de.wiki_in_Bayern	Altdorf bei Nürnberg	 Am Schlossplatz	Bücherschrank	Bücherschrank Schlossplatz[1]	Juli 2017	49.3848	11.3546	90518					
de.wiki_in_Bayern	Amberg	Georgenstraße 55	Bücherschrank	[2]	Nov. 2018	49.444133	11.852531	92224					
de.wiki_in_Bayern	Aschaffenburg	 Café Schwarzer Riese, Roßmarkt 38a[5]	Bücherregal	Zugleich Bookcrossing-Zone,[6] zu den Öffnungszeiten des Cafés zugänglich	12. Dez. 2008			63739					
de.wiki_in_Bayern	Aschaffenburg	 Haltepunkt 5 am Regionalen Omnibusbahnhof	Bücherschrank	Zugleich Bookcrossing-Zone[3]	Okt. 2010	49.98	9.1407	63739					
de.wiki_in_Bayern	Aschaffenburg	 Im Eingangsbereich des Evangelischen Jugendzentrums auf der rechten Seite	Bücherschrank	Zugleich Bookcrossing-Zone[4] Offen Dienstag 13–18 Uhr, Donnerstag 13–21 Uhr, Freitag 14:30–21 Uhr; barrierefrei zugänglich	Nov. 2013	49.9733	9.15131	63739					
de.wiki_in_Bayern	Augsburg	 Hofgarten, hinter dem Dom	Vitrine	Gefördert durch die Augsburger Müller-Spengler-Stiftung. Der Hofgarten ist von April bis Oktober tagsüber von 8 bis 21 Uhr zugänglich, im Winter bleibt er geschlossen; barrierefreier Zugang	22. Juli 2003	48.372533	10.8935	86152					
de.wiki_in_Bayern	Bad Grönenbach	 An einer Straßenkreuzung gegenüber einem Parkplatz neben einer Wanderkarte; Adresse: Rothenstein 2a	Holzschrank	„Projektfonds Aktive Zentren“ der Städtebauförderung in Bayern	11. Apr. 2015	47.86706	10.20267	87730					
de.wiki_in_Bayern	Baiersdorf	vor dem Haus Apothekengäßchen 1	Bücherschrank		01. Okt. 2016	49.6568	11.0315	91083					
de.wiki_in_Bayern	Bamberg	 Austraße 14 im Eingangsbereich des Hofcafés	Bücherregal	Barrierefreier Zugang				96047					
de.wiki_in_Bayern	Bamberg	 Gartenstädter Markt	Rote Telefonzelle	Gefördert und betreut vom Bürgerverein Gartenstadt und der Stadtbücherei	Apr. 2016			96052					
