Source	Ort	Lage	Typ	Anmerkung	Seit	lat	lon	PLZ	Stadtbezirk	Land	BL	Kanton
de.wiki_im_Alb-Donau-Kreis	Beimerstetten	 Bahnhofstraße	Telefonzelle	Unterstützt von der Gemeinde, betreut von J. Schüle[1][2]	16. Juli 2015	48.482108	9.9818176					
de.wiki_im_Alb-Donau-Kreis	Laichingen	 Marktplatz	Bücherschrank	Bücherschrank auf dem Marktplatz		48.4895189302627	9.68607380879879					
de.wiki_im_Alb-Donau-Kreis	Langenau	 Bahnhof 7	Bücherregal	Bücherregal im Bahnhof, Di.–So. 09:00–18:00 Uhr[2]		48.493438617693	10.125844962895					
de.wiki_im_Alb-Donau-Kreis	Langenau	 In den Lindeschen 35	Bücherregal	Recyclinghof, Mi., Fr. und Sa. jeweils 13–17 Uhr[2]		48.50060275	10.133770396009					
de.wiki_im_Alb-Donau-Kreis	Langenau	 Wörthstraße 16a	Bücherregal	NauBad[2]		48.50038905	10.126749962622					
de.wiki_im_Alb-Donau-Kreis	Lauterach	 Lautertalstraße 5	Bücherregal	Lautertalhalle, am Eingang zum Raum des Gesangvereins[3]	Feb. 2021							
de.wiki_im_Alb-Donau-Kreis	Oberdischingen	 Bachstraße 6	Bücherschrank	Bücherschrank in der Raiffeisenbank		48.301997098983	9.8299349471927					
de.wiki_im_Alb-Donau-Kreis	Obermarchtal		Bücherregal	Öffentliches Bücherregal im Museum im Dorfgemeinschaftshaus, Erdgeschoss[4]		48.2350263811332	9.56984795205861					
de.wiki_im_Bodenseekreis	Frickingen	 Kirchstraße 7	Bücherschrank	Hinter dem Rathaus[1]	Apr. 2018	47.813018	9.271858					
de.wiki_im_Bodenseekreis	Friedrichshafen		Bücherschrank	Im Edeka Center am Hafenbahnhof an den Kassen Richtung Ausgang.								
de.wiki_im_Bodenseekreis	Friedrichshafen		Bücherschrank	im Rathaus am Adenauerplatz im Warteraum des Bürgerservice zu den Öffnungszeiten		47.650007	9.480344					
de.wiki_im_Bodenseekreis	Kressbronn am Bodensee	Bodanstraße	Bücherregal	Lesepavillon im Seepark am Bodenseeufer	Juli 2019	47.588417	9.595917					
de.wiki_im_Bodenseekreis	Markdorf	 Ravensburger Straße 23	Bücherschrank	Rathaus Markdorf[2]		47.7201851532	9.39142227173					
de.wiki_im_Bodenseekreis	Markdorf	 Spitalstraße 3	Bücherschrank	im Mehrgenerationenhaus, Erdgeschoss, im offenen Wohnzimmer		47.723149	9.390524					
de.wiki_im_Bodenseekreis	Meersburg	 Uferpromenade 2	Bücherschrank	am Bundesbahnhafen[2]		47.692353	9.272895					
de.wiki_im_Bodenseekreis	Nußdorf	 Zum Salm	Bücherregal	Bücherregal Nußdorf am Dorfgemeinschaftshaus[2]	2012	47.752865869726	9.1948646306992					
de.wiki_im_Bodenseekreis	Owingen	 Hauptstraße 35	Bücherschrank	Bücherschrank Owingen[2]		47.809203	9.172016					
de.wiki_im_Bodenseekreis	Salem	  Schloßstraße 3	Bücherschrank	Am Kreisverkehr in Stefansfeld	Apr. 2019	47.776594	9.287827					
de.wiki_im_Bodenseekreis	Tettnang	 Dorfstraße 19	Bücherschrank	Bücherschrank im Dorfladen[2]		47.6231967	9.6602235					
de.wiki_im_Bodenseekreis	Überlingen	 Aufkircherstraße 91	Bücherregal	Bücherregal am Schättlisberg[2]		47.775776	9.151729					
de.wiki_im_Bodenseekreis	Überlingen	 Grabenstraße 2	Edelstahlregal	Gefördert durch Lesezeichen e. V. am Eingang zum Kurpark,[3][2] am Kurpark Grabenstraße/Ecke Promenade, ein Edelstahlregal	2009	47.7670009218	9.1566649451852					
de.wiki_im_Bodenseekreis	Überlingen	 Strandweg 32	Bücherschrank	Beim Ostbad[2]		47.759284	9.176491					
de.wiki_im_Bodenseekreis	Überlingen-Lippertsreute	 Ecke Im Öschle/Alte Dorfstraße	Bücherzelle	Am Dorfplatz im Ortsteil Ernatreute		47.810823	9.218858					
de.wiki_im_Bodenseekreis	Uhldingen-Mühlhofen-Unteruhldingen	 Strandpromenade 5	Bücherregal	Bücherregal am Naturstrand Unteruhldingen[2]		47.724411607587	9.2279770030683					
de.wiki_im_Enzkreis	Eisingen	 Pforzheimer Straße 4	Bücherschrank	Bücherschrank an der Gemeindebibliothek		48.94745	8.66775					
de.wiki_im_Enzkreis	Engelsbrand	 Tannenweg	Bücherschrank	Bücherschrank am Spielplatz[1]		48.829600018141	8.6518175527453					
de.wiki_im_Enzkreis	Großglattbach	 Vaihinger Straße 44	Bücherschrank	Haltestelle Kelter Wartehäuschen[1]		48.914827283632	8.8980041071773					
de.wiki_im_Enzkreis	Mönsheim	 Burgstraße 2	Bücherregal	Bücherregal im Foyer der alten Kelter[1]		48.862731467	8.86331677437					
de.wiki_im_Enzkreis	Mühlacker	 Konrad-Adenauer-Platz 4	Bücherschrank	Mühlacker Konrad-Adenauer-Platz[1]		48.946491	8.84047					
de.wiki_im_Enzkreis	Nöttingen	 Striesterweg 2	Bücherschrank	Bücherschrank Nöttingen[1]		48.927871	8.567963					
de.wiki_im_Hohenlohekreis	Forchtenberg		Bücherschrank	kleine Sta(d)tt-Bücherei[1]		49.279012	9.479806					
de.wiki_im_Hohenlohekreis	Öhringen	Bahnhofstraße 1	Holzregal	Im Gebäude des Öhringer Hauptbahnhofs; nur während der Öffnungszeiten zugänglich.[1]		49.203194	9.502699					
de.wiki_im_Hohenlohekreis	Sindringen		Bücherschrank	kleine Sta(d)tt-Bücherei[1]		49.279012	9.479806					
de.wiki_im_Landkreis_B%C3%B6blingen	Aidlingen	Hauptstraße 14	Bücherschrank	Aidlingen – Volkshochschule[1]		48.67814	8.897268					
